Date,Issue Name,Code,Market Segment,Reason
"Dec. 26, 2018","SOLCOM Co.,Ltd.",1987,2nd Section,Becoming a wholly owned subsidiary of MIRAIT Holdings Corporation
"Dec. 26, 2018","Nisshin Steel Co.,Ltd.",5413,1st Section,Becoming a wholly owned subsidiary of NIPPON STEEL & SUMITOMO METAL CORPORATION
"Dec. 26, 2018","ALPINE ELECTRONICS,INC.",6816,1st Section,"Becoming a wholly owned subsidiary of ALPS ALPINE CO.,LTD."
"Dec. 26, 2018","ELNA CO.,LTD.",6972,2nd Section,"Becoming a wholly owned subsidiary of TAIYO YUDEN CO.,LTD."
"Dec. 04, 2018",KUWAYAMA CORPORATION,7889,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Dec. 03, 2018","American International Group,Inc.",8685,1st Section Foreign Stocks,Delisted based on application
"Nov. 27, 2018","Excite Japan Co.,Ltd.",3754,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Nov. 20, 2018",FUJITSU COMPONENT LIMITED,6719,2nd Section,Reverse stock split
"Oct. 26, 2018",D.A.Consortium Holdings Inc.,6534,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 22, 2018","TOBU STORE CO.,LTD.",8274,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 12, 2018","Mitsui Home Co.,Ltd.",1868,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 12, 2018","URBAN LIFE Co.,Ltd.",8851,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Sep. 26, 2018","NIPPON DENTSU CO.,LTD.",1931,2nd Section,Becoming a wholly owned subsidiary of KYOWA EXEO CORPORATION
"Sep. 26, 2018",SYSKEN Corporation,1933,2nd Section,Becoming a wholly owned subsidiary of COMSYS Holdings Corporation
"Sep. 26, 2018","TTK Co.,Ltd.",1935,2nd Section,Becoming a wholly owned subsidiary of MIRAIT Holdings Corporation
"Sep. 26, 2018","Seibu Electric Industry Co.,Ltd.",1937,1st Section,Becoming a wholly owned subsidiary of KYOWA EXEO CORPORATION
"Sep. 26, 2018","NDS CO.,LTD.",1956,1st Section,Becoming a wholly owned subsidiary of COMSYS Holdings Corporation
"Sep. 26, 2018","Hokuriku Denwa Kouji Co.,Ltd.",1989,2nd Section,Becoming a wholly owned subsidiary of COMSYS Holdings Corporation
"Sep. 26, 2018","ITbook Co.,LTD.",3742,Mothers,"Becoming a wholly owned subsidiary of ITbook Holdings Co.,LTD."
"Sep. 26, 2018","Something Holdings Co.,Ltd.",1408,JASDAQ Growth,"Becoming a wholly owned subsidiary of ITbook Holdings Co.,LTD."
"Sep. 26, 2018","NISSEI BUILD KOGYO CO.,LTD.",1916,1st Section,"Becoming a wholly owned subsidiary of SPACE VALUE HOLDINGS CO.,LTD."
"Sep. 26, 2018",BOOKOFF CORPORATION,3313,1st Section,Becoming a wholly owned subsidiary of BOOKOFF GROUP HOLDINGS LIMITED
"Sep. 26, 2018","Minnano Wedding Co.,Ltd.",3685,Mothers,Becoming a wholly owned subsidiary of Kufu Company Inc.
"Sep. 26, 2018",SUNï½¥LIFE CORPORATION,4656,JASDAQ Standard,"Becoming a wholly owned subsidiary of SUN-LIFE HOLDING CO.,LTD."
"Sep. 26, 2018","SOGO MEDICAL CO.,LTD.",4775,1st Section,"Becoming a wholly owned subsidiary of SOGO MEDICAL HOLDINGS CO.,LTD."
"Sep. 26, 2018","HANEDA ZENITH HOLDINGS Co.,Ltd.",5289,2nd Section,Becoming a wholly owned subsidiary of Vertex Corporation
"Sep. 26, 2018","O-uccino,Inc.",6084,Mothers,Becoming a wholly owned subsidiary of Kufu Company Inc.
"Sep. 26, 2018","DIAMOND ELECTRIC MFG. CO.,LTD.",6895,2nd Section,"Becoming a wholly owned subsidiary of DIAMOND ELECTRIC HOLDINGS Co.,Ltd."
"Sep. 26, 2018","The Daishi Bank,Ltd.",8324,1st Section,"Becoming a wholly owned subsidiary of Daishi Hokuetsu Financial Group,Inc."
"Sep. 26, 2018","The Hokuetsu Bank,Ltd.",8325,1st Section,"Becoming a wholly owned subsidiary of Daishi Hokuetsu Financial Group,Inc."
"Sep. 26, 2018","SAGAMI GROUP HOLDINGS Co.,Ltd.",8201,1st Section,Reverse stock split
"Sep. 18, 2018",SANSHIN CORPORATION,1984,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Sep. 03, 2018",SORGHUM JAPAN HOLDINGS Corp.,6636,JASDAQ Standard,Delay in submission of a securities report
"Aug. 29, 2018","YAMADA SXL HOME CO.,LTD.",1919,1st Section,"Becoming a wholly owned subsidiary of YAMADA DENKI CO.,LTD."
"Aug. 29, 2018","New Japan Radio Co.,Ltd.",6911,1st Section,Becoming a wholly owned subsidiary of Nisshinbo Holdings Inc.
"Aug. 06, 2018","KITAMURA CO.,LTD.",2719,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Jul. 30, 2018","Toyo Kohan Co.,Ltd.",5453,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Jul. 27, 2018",JAPAN FOOD&LIQUOR ALLIANCE INC.,2538,2nd Section,Becoming a wholly owned subsidiary of JFLA Holdings Inc.
"Jul. 23, 2018","Japan Drilling Co.,Ltd.",1606,1st Section,Due to corporate reorganization proceedings
"Jun. 27, 2018",CCS Inc.,6669,JASDAQ Standard,"Becoming a wholly owned subsidiary of OPTEX GROUP Company,Limited"
"Jun. 27, 2018","Mobile Create Co.,Ltd.",3669,1st Section,"Becoming a wholly owned subsidiary of Future Innovation Group,Inc."
"Jun. 27, 2018",ISHII TOOL & ENGINEERING CORPORATION,6314,JASDAQ Standard,"Becoming a wholly owned subsidiary of Future Innovation Group,Inc."
"Jun. 22, 2018",TOEI REEFER LINE LTD.,9133,JASDAQ Standard,Reverse stock split
"May 08, 2018",Kawasaki Kasei Chemicals Ltd.,4117,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Apr. 25, 2018","UCS CO.,LTD.",8787,JASDAQ Standard,"Becoming a wholly owned subsidiary of UNY Co., Ltd."
"Apr. 24, 2018","TECHNICAL ELECTRON Co.,Ltd.",6716,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Mar. 28, 2018","The Mie Bank,Ltd.",8374,1st Section,"Becoming a wholly owned subsidiary of San ju San Financial Group,Inc."
"Mar. 28, 2018","The Daisan Bank,Ltd.",8529,1st Section,"Becoming a wholly owned subsidiary of San ju San Financial Group,Inc."
"Mar. 28, 2018","THE MINATO BANK,LTD.",8543,1st Section,"Becoming a wholly owned subsidiary of Kansai Mirai Financial Group,Inc."
"Mar. 28, 2018",Kansai Urban Banking Corporation,8545,1st Section,"Becoming a wholly owned subsidiary of Kansai Mirai Financial Group,Inc."
"Mar. 28, 2018","Oki Electric Cable Co.,Ltd.",5815,1st Section,Reverse stock split
"Mar. 20, 2018",SUZUNUI CORPORATION,1846,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Mar. 19, 2018","UEHARA SEI SHOJI CO.,LTD.",8148,2nd Section,Reverse stock split
"Mar. 16, 2018","KURODA ELECTRIC CO.,LTD.",7517,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Mar. 16, 2018",ASATSU-DK INC.,9747,1st Section,Reverse stock split
"Mar. 09, 2018",Hitachi Kokusai Electric Inc.,6756,1st Section,Reverse stock split
"Feb. 01, 2018","POCKET CARD CO.,LTD.",8519,1st Section,Reverse stock split
"Feb. 01, 2018","Masuda Flour Milling Co.,Ltd.",2008,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Jan. 29, 2018",FUJITSU BROAD SOLUTION & CONSULTING Inc.,4793,JASDAQ Standard,Becoming a wholly owned subsidiary of FUJITSU LIMITED
"Jan. 29, 2018","Yusen Logistics Co.,Ltd.",9370,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Jan. 23, 2018","Fuji Kiko Co.,Ltd.",7260,1st Section,"Acquisition by a demand for share, etc. cash-out"
